word,word_pinyin,word_eng,sentence,sentence_pinyin,sentence_eng,sound,sentence_sound
流利,liúlì,fluent,他说的汉语很流利。,Tā shuō de hànyǔ hěn liúlì.,His spoken Chinese is fluent.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/fluent-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/fluent-phrase.mp3
发展,fāzhǎn,to develop,中国发展得很快。,Zhōngguó fāzhǎn de hěnkuài.,China is developing fast.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-develop-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-develop-phrase.mp3
参观,cānguān,to visit,我参观了博物馆。,Wǒ cānguān le bówùguàn.,I visited the museum.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-visit-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-visit-phrase.mp3
热闹,rènào,lively,中国的春节真热闹。,Zhōngguó de chūnjié zhēn rènao.,China's Spring Festival is very lively.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/lively-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/lively-phrase.mp3
非常,fēicháng,extremely,今天非常热。,Jīntiān fēicháng rè.,It's extremely hot today.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/extremely-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/extremely-phrase.mp3
美元,měiyuán,American dollar,我有一百块美元。,Wǒ yǒu yībǎi kuài měiyuán.,I have one hundred dollars.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/American-dollar-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/American-dollar-phrase.mp3
美元,měiyuán,American dollar,我有一百块美元。,Wǒ yǒu yībǎi kuài měiyuán.,I have one hundred dollars.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/American-dollar-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/American-dollar-phrase.mp3
银行,yínháng,bank,银行几点开门？,Yíngháng jǐdiǎn kāimén?,What time does the bank open?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/bank-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/bank-phrase.mp3
银行,yínháng,bank,银行几点开门？,Yíngháng jǐdiǎn kāimén?,What time does the bank open?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/bank-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/bank-phrase.mp3
干净,gānjìng,clean,他的房间很干净。,Tā de fángjiān hěn gānjìng.,His room is very clean.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/clean-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/clean-phrase.mp3
圣诞节,shèngdànjié,Christmas,圣诞节我要回家。,Shèngdànjié wǒ yào huíjiā.,I will go home for Christmas.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Christmas-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Christmas-phrase.mp3
语法,yǔfǎ,grammar,汉语语法不太难。,Hànyǔ yǔfǎ bú tài nán.,Chinese grammar is not very difficult.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/grammar-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/grammar-phrase.mp3
口语,kǒuyǔ,spoken language,我的汉语口语不太好。,Wǒ de hànyǔ kǒuyǔ bú tài hǎo.,My spoken Chinese is not very good.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/spoken-language-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/spoken-language-phrase.mp3
念,niàn,to read aloud,请念生词。,Qǐng niàn shēngcí.,Please read the new words aloud.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-read-aloud-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-read-aloud-phrase.mp3
房子,fángzi,house,他家的房子很美。,Tā jiā de fángzi hěn měi.,His family's house is very beautiful.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/house-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/house-phrase.mp3
旅行,lǚxíng,to travel,我想去西部旅行。,Wǒ xiǎng qù xībù lǚxíng.,I'd like to travel in the west.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-travel-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-travel-phrase.mp3
洗,xǐ,to wash,请把车洗一洗。,Qǐng bǎ chē xǐyixǐ.,Please wash the car.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-wash-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-wash-phrase.mp3
有意思,yǒuyìsi,interesting,这本书很有意思。,Zhè běn shū hěn yǒuyìsi.,This book is very interesting.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/interesting-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/interesting-phrase.mp3
打扫,dǎsǎo,to clean,他每天打扫房间。,Tā měitiān dǎsǎo fángjiān.,He cleans the room everyday.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-clean-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-clean-phrase.mp3
寄,jì,to mail,我给妈妈寄了礼物。,Wǒ gěi māma jìle lǐwù.,I have mailed the gift to mom.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-mail-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-mail-phrase.mp3
刚才,gāngcái,just now,他刚才来找过你。,Tā gāngcái lái zhǎoguò nǐ.,He has just come to look for you.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/just-now-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/just-now-phrase.mp3
河,hé,river,黄河在中国。,Huánghé zài zhōngguó.,The Yellow River is in China.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/river-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/river-phrase.mp3
山,shān,mountain,中国有很多大山。,Zhōngguó yǒu hěnduō dà shān.,There are many big mountains in China.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/mountain-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/mountain-phrase.mp3
回,huí,to return,他已经回家了。,Tā yǐjīng huíjiā le.,He has already gone home.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-return-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-return-phrase.mp3
旧,jiù,old,我的衣服很旧。,Wǒde yīfu hěn jiù.,My clothes are very old.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/old-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/old-phrase.mp3
新,xīn,new,这个书店是新的。,Zhè ge shūdiàn shì xīnde.,This bookstore is new.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/new-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/new-phrase.mp3
服务,fúwù,to serve,这家商店服务很好。,Zhè jiā shāngdiàn fúwù hěn hǎo.,This store's service is very good.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-serve-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-serve-phrase.mp3
热心,rèxīn,enthusiastic,他很热心地帮助我。,Tā hěn rèxīn de bāngzhù wǒ.,He helps me enthusiastically.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/enthusiastic-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/enthusiastic-phrase.mp3
方便,fāngbiàn,convenient,这儿买东西很方便。,Zhèr mǎi dōngxi hěn fāngbiàn.,It is convenient to go shopping here.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/convenient-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/convenient-phrase.mp3
方便,fāngbiàn,convenient,这儿买东西很方便。,Zhèr mǎi dōngxi hěn fāngbiàn.,It is convenient to go shopping here.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/convenient-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/convenient-phrase.mp3
等,děng,to wait,我等了很久。,Wǒ děng le hěn jiǔ.,I waited for a long time.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-wait-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-wait-phrase.mp3
等,děng,to wait,我等了很久。,Wǒ děng le hěn jiǔ.,I waited for a long time.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-wait-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-wait-phrase.mp3
经理,jīnglǐ,manager,今天经理有会。,Jīntiān jīnglǐ yǒu huì.,The manager has a meeting today.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/manager-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/manager-phrase.mp3
帮助,bāngzhù,to help,我可以帮助你吗？,Wǒ kěyǐ bāngzhù nǐ ma?,May I help you?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-help-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-help-phrase.mp3
让,ràng,"to allow, to let",爸爸不让我喝啤酒。,Bàba bú ràng wǒ hē píjiǔ.,Dad does not allow me to drink beer.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-allow-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-allow-phrase.mp3
办,bàn,"to deal with, to do, to take care of, to manage",我有很多事要办。,Wǒ yǒu hěnduō shì yào bàn.,I have a lot to take care of.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-deal-with-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-deal-with-phrase.mp3
厨房,chúfáng,kitchen,这间厨房太小。,Zhè jiān chúfáng tài xiǎo.,This kitchen is too small.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/kitchen-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/kitchen-phrase.mp3
租,zū,to rent,他想租一间房。,Tā xiǎng zū yī jiān fáng.,He wants to rent a room.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-rent-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-rent-phrase.mp3
可是,kěshì,but,我很好，可是太忙。,"Wǒ hěnhǎo, kěshì tài máng.","I am well, but too busy.",http://wotd.transparent.com/mandarin-chinese/level-1/sound/but-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/but-phrase.mp3
散步,sànbù,to take a walk,他吃饭后常常散步。,Tā chīfàn hòu chángcháng sànbù.,He often takes a walk after meals.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-take-a-walk-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-take-a-walk-phrase.mp3
告诉,gàosu,to tell,请告诉他一点开会。,Qǐng gàosù tā yīdiǎn kāihuì.,Please tell him the meeting is at one o'clock.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-tell-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-tell-phrase.mp3
告诉,gàosu,to tell,请告诉他一点开会。,Qǐng gàosù tā yīdiǎn kāihuì.,Please tell him the meeting is at one o'clock.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-tell-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-tell-phrase.mp3
听说,tīngshuō,to hear of; to hear about,听说她工作得很晚。,Tīngshūo tā gōngzuò de hěn wǎn.,I hear she works very late.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-hear-of;-to-hear-about-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-hear-of;-to-hear-about-phrase.mp3
胃,wèi,stomach,我的胃不舒服。,Wǒ de wèi bù shūfu.,My stomach doesn't feel well.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/stomach-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/stomach-phrase.mp3
牙,yá,tooth,我牙疼。,Wǒ yá téng.,I have a toothache.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/tooth-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/tooth-phrase.mp3
药,yào,medicine,我要去买药。,Wǒ yào qù mǎi yào.,I need to buy some medicine.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/medicine-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/medicine-phrase.mp3
发烧,fāshāo,to have a fever,我有点儿发烧。,#N/A!,I have a bit of a fever.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-have-a-fever-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-have-a-fever-phrase.mp3
感冒,gǎnmào,to have a cold; to catch a cold,孩子感冒了。,Háizi gǎnmào le.,The child has caught a cold.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-have-a-cold-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-have-a-cold-phrase.mp3
住,zhù,to live,你住在哪儿？,Nǐ zhù zài nǎr?,Where do you live?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-live-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-live-phrase.mp3
紫,zǐ,purple,我喜欢紫色。,Wǒ xǐhuan zǐ sè.,I like purple.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/purple-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/purple-phrase.mp3
蓝,lán,blue,今天天真蓝。,Jīntiān tiān zhēn lán.,The sky is really blue today.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/blue-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/blue-phrase.mp3
黄,huáng,yellow,秋天草黄了。,Qiūtiān cǎo huáng le.,Grass turns yellow in the fall.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/yellow-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/yellow-phrase.mp3
绿,lǜ,green,绿草很嫩。,Lǜ cǎo hěn nèn.,Green grass is tender.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/green-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/green-phrase.mp3
白,bái,white,夏天我穿白衬衫。,Xiàtiān wǒ chuān bái chènshān.,I wear white shirts in the summer.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/white-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/white-phrase.mp3
黑,hēi,black,教室有黑板。,Jiàoshì yǒu hēibǎn.,There is a blackboard in the classroom.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/black-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/black-phrase.mp3
衣服,yīfu,clothing; clothes,他穿了一件黑衣服。,Tā chuānle yī jiàn hēi yīfu.,He wore one piece of black clothing.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/clothing-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/clothing-phrase.mp3
穿,chuān,to wear,孩子喜欢穿新衣。,Háizi xǐhuān chuān xīnyī.,Children like to wear new clothes.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-wear-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-wear-phrase.mp3
凉快,liángkuài,cool,北部夏天很凉快。,Běibù xiàtiān hěn liángkuài.,It is cool in the north in summer.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cool-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cool-phrase.mp3
暖和,nuǎnhuo,warm,今天很暖和。,Jīntiān hěn nuǎnhuo.,It's warm today.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/warm-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/warm-phrase.mp3
冬天,dōngtiān,winter,这儿冬天有雪吗？,Zhèr dōngtiān yǒu xuě ma?,Is there snow in winter here?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/winter-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/winter-phrase.mp3
秋天,qiūtiān,autumn,中国秋天很美。,Zhōngguó qiūtiān hěn měi.,Autumn is beautiful in China.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/autumn-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/autumn-phrase.mp3
夏天,xiàtiān,summer,北京夏天不热。,Běijīng xiàtiān bú rè.,It is not hot in summer in Beijing.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/summer-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/summer-phrase.mp3
春天,chūntiān,spring,春天花都开了。,Chūntiān huā dōu kāi le.,The spring flowers are all blossoming.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/spring-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/spring-phrase.mp3
冷,lěng,cold,这儿冬天很冷。,Zhèr dōngtiān hěn lěng.,Winter here is cold.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cold-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cold-phrase.mp3
想,xiǎng,"to miss, to think",我想我妈妈。,Wǒ xiǎng wǒ māma.,I miss my mother.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-miss-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-miss-phrase.mp3
像,xiàng,to resemble,这孩子像他爸爸。,Zhè háizi xiàng tā bàba.,This child resembles his father.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-resemble-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-resemble-phrase.mp3
头,tóu,head,我头疼。,Wǒ tóuténg.,I have a headache.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/head-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/head-phrase.mp3
锻炼,duànliàn,to exercise,年轻人也要锻炼。,Niánqīngrén yě yào duànliàn.,Young people also need to exercise.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-exercise-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-exercise-phrase.mp3
每,měi,every,每个学生都有书。,Měi gè xuésheng dōu yǒu shū.,Every student has a book.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/every-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/every-phrase.mp3
每,měi,every,每个学生都有书。,Měi gè xuésheng dōu yǒu shū.,Every student has a book.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/every-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/every-phrase.mp3
身体,shēntǐ,body,他每天锻炼身体。,Tā měitiān duànliàn shēntǐ.,He exercises his body every day.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/body-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/body-phrase.mp3
表,biǎo,watch,你的表有一点儿快。,Nǐ de biǎo yǒu yīdiǎněr kuài.,Your watch is a little bit fast.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/watch-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/watch-phrase.mp3
容易,róngyì,easy,成功不容易。,Chénggōng bù róngyì.,To succeed is not easy.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/easy-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/easy-phrase.mp3
难,nán,difficult,这个字不难写。,Zhè ge zì bù nán xiě.,This character is not difficult to write.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/difficult-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/difficult-phrase.mp3
跳舞,tiàowǔ,to dance,她跳舞跳得很好。,Tā tiàowǔ tiào de hěnhao.,She dances very well.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-dance-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-dance-phrase.mp3
唱歌,chànggē,to sing,孩子在唱歌。,Háizi zài chànggē.,The child is singing.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-sing-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-sing-phrase.mp3
吃,chī,to eat,我爱吃烤鸭。,Wǒ ài chī kǎoyā.,I love to eat roast duck.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-eat-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-eat-phrase.mp3
应该,yīnggāi,should,你应该学英语。,Nǐ yīnggāi xué yīngyǔ.,You should study English.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/should-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/should-phrase.mp3
起床,qǐchuáng,to get up,他起床起得不早。,Tā qǐchuáng qǐ de bù zǎo.,He does not get up early.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-get-up-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-get-up-phrase.mp3
睡觉,shuìjiào,to sleep,我很晚睡觉。,Wǒ hěn wǎn shuìjiào.,I sleep very late.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-sleep-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-sleep-phrase.mp3
字,zì,character,我认识一百个字。,Wǒ rènshi yībǎi gè zì.,I recognize one hundred characters.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/character-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/character-phrase.mp3
写,xiě,to write,我不会写汉字。,Wǒ búhuì xiě hànzì.,I can not write Chinese characters.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-write-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-write-phrase.mp3
